Country	Index	Work	Money	Knowledge	Time	Power	Health
SE	74.3	78.6	80.2	66.3	63.9	74.3	93.1
DK	73.6	81.6	79.2	75.1	64.9	60.0	91.8
FI	73.4	82.0	78.4	67.0	63.8	68.8	89.9
NL	69.7	73.1	82.5	65.5	71.3	52.2	94.7
UK	60.4	76.6	74.3	68.8	43.2	35.2	95.4
BE	59.6	66.4	79.3	54.7	45.3	45.2	94.1
FR	57.1	67.0	75.9	49.4	35.8	50.3	90.6
SI	56.0	69.1	70.2	51.4	49.1	36.0	88.7
IE	55.2	71.0	77.0	52.8	53.4	26.5	96.4
ES	54.0	61.3	60.7	53.5	33.8	47.2	90.7
DE	51.6	72.5	76.3	44.1	41.6	28.0	89.5
LU	50.7	66.4	90.9	61.1	48.9	14.7	93.9
AT	50.4	73.9	77.9	44.6	40.0	24.3	91.6
EE	50.0	64.6	49.1	53.0	51.4	27.5	83.8
CZ	44.4	71.6	59.3	37.3	23.2	29.6	89.6
LV	44.4	54.9	42.0	38.8	35.2	38.6	77.1
PL	44.1	61.4	52.2	44.0	20.9	34.5	82.6
LT	43.6	61.0	41.5	47.4	24.1	32.1	84.9
CY	42.0	68.7	74.1	52.9	25.3	12.2	91.1
MT	41.6	55.0	68.2	34.0	37.5	18.7	93.2
HU	41.4	55.9	54.4	35.1	32.5	24.4	83.7
PT	41.3	66.2	56.3	30.4	22.4	30.6	84.5
SK	40.9	61.0	53.7	35.0	17.8	33.1	85.8
IT	40.9	60.6	68.2	32.1	33.0	18.6	90.8
EL	40.0	59.7	63.3	36.7	17.4	24.4	92.4
BG	37.0	49.9	40.7	32.0	17.3	33.8	84.5
RO	35.3	60.4	39.0	28.8	17.8	24.9	84.0
EU-27	54.0	69.0	68.9	48.9	38.8	38.0	90.1
